time,temperature,city,temperature_celsius,temperature_fahrenheit
2025-11-03T00:00,4.4,Bishkek,4.4,39.92
2025-11-03T01:00,4.0,Bishkek,4.0,39.2
2025-11-03T02:00,3.8,Bishkek,3.8,38.839999999999996
2025-11-03T03:00,5.7,Bishkek,5.7,42.260000000000005
2025-11-03T04:00,10.4,Bishkek,10.4,50.72
2025-11-03T05:00,12.7,Bishkek,12.7,54.86
2025-11-03T06:00,12.5,Bishkek,12.5,54.5
2025-11-03T07:00,12.7,Bishkek,12.7,54.86
2025-11-03T08:00,12.7,Bishkek,12.7,54.86
2025-11-03T09:00,12.5,Bishkek,12.5,54.5
2025-11-03T10:00,12.1,Bishkek,12.1,53.78
2025-11-03T11:00,11.3,Bishkek,11.3,52.34
2025-11-03T12:00,9.3,Bishkek,9.3,48.74
2025-11-03T13:00,7.9,Bishkek,7.9,46.22
2025-11-03T14:00,6.7,Bishkek,6.7,44.06
2025-11-03T15:00,5.6,Bishkek,5.6,42.08
2025-11-03T16:00,5.1,Bishkek,5.1,41.18
2025-11-03T17:00,5.5,Bishkek,5.5,41.9
2025-11-03T18:00,6.3,Bishkek,6.3,43.34
2025-11-03T19:00,6.4,Bishkek,6.4,43.519999999999996
2025-11-03T20:00,5.4,Bishkek,5.4,41.72
2025-11-03T21:00,4.5,Bishkek,4.5,40.1
2025-11-03T22:00,3.7,Bishkek,3.7,38.660000000000004
2025-11-03T23:00,3.2,Bishkek,3.2,37.76
2025-11-03T00:00,3.8,Almaty,3.8,38.839999999999996
2025-11-03T01:00,2.9,Almaty,2.9,37.22
2025-11-03T02:00,3.0,Almaty,3.0,37.4
2025-11-03T03:00,5.3,Almaty,5.3,41.54
2025-11-03T04:00,10.2,Almaty,10.2,50.36
2025-11-03T05:00,14.5,Almaty,14.5,58.1
2025-11-03T06:00,14.6,Almaty,14.6,58.28
2025-11-03T07:00,14.8,Almaty,14.8,58.64
2025-11-03T08:00,15.1,Almaty,15.1,59.18
2025-11-03T09:00,14.9,Almaty,14.9,58.82
2025-11-03T10:00,14.3,Almaty,14.3,57.74
2025-11-03T11:00,13.2,Almaty,13.2,55.76
2025-11-03T12:00,10.8,Almaty,10.8,51.44
2025-11-03T13:00,9.0,Almaty,9.0,48.2
2025-11-03T14:00,8.0,Almaty,8.0,46.4
2025-11-03T15:00,7.6,Almaty,7.6,45.68
2025-11-03T16:00,8.1,Almaty,8.1,46.58
2025-11-03T17:00,6.6,Almaty,6.6,43.879999999999995
2025-11-03T18:00,5.8,Almaty,5.8,42.44
2025-11-03T19:00,5.8,Almaty,5.8,42.44
2025-11-03T20:00,5.5,Almaty,5.5,41.9
2025-11-03T21:00,5.7,Almaty,5.7,42.260000000000005
2025-11-03T22:00,6.2,Almaty,6.2,43.16
2025-11-03T23:00,5.6,Almaty,5.6,42.08
2025-11-03T00:00,8.7,Tashkent,8.7,47.66
2025-11-03T01:00,8.5,Tashkent,8.5,47.3
2025-11-03T02:00,8.4,Tashkent,8.4,47.120000000000005
2025-11-03T03:00,8.9,Tashkent,8.9,48.02
2025-11-03T04:00,10.3,Tashkent,10.3,50.54
2025-11-03T05:00,12.7,Tashkent,12.7,54.86
2025-11-03T06:00,14.1,Tashkent,14.1,57.379999999999995
2025-11-03T07:00,15.4,Tashkent,15.4,59.72
2025-11-03T08:00,15.6,Tashkent,15.6,60.08
2025-11-03T09:00,14.7,Tashkent,14.7,58.459999999999994
2025-11-03T10:00,14.6,Tashkent,14.6,58.28
2025-11-03T11:00,14.0,Tashkent,14.0,57.2
2025-11-03T12:00,12.6,Tashkent,12.6,54.68
2025-11-03T13:00,11.3,Tashkent,11.3,52.34
2025-11-03T14:00,10.1,Tashkent,10.1,50.18
2025-11-03T15:00,9.4,Tashkent,9.4,48.92
2025-11-03T16:00,9.1,Tashkent,9.1,48.379999999999995
2025-11-03T17:00,8.8,Tashkent,8.8,47.84
2025-11-03T18:00,8.7,Tashkent,8.7,47.66
2025-11-03T19:00,8.3,Tashkent,8.3,46.94
2025-11-03T20:00,7.9,Tashkent,7.9,46.22
2025-11-03T21:00,7.6,Tashkent,7.6,45.68
2025-11-03T22:00,7.4,Tashkent,7.4,45.32
2025-11-03T23:00,7.2,Tashkent,7.2,44.96
