time,temperature,temperature_celsius,temperature_fahrenheit
2025-11-02T00:00,0.2,0.2,32.36
2025-11-02T01:00,0.2,0.2,32.36
2025-11-02T02:00,-0.0,-0.0,32.0
2025-11-02T03:00,1.9,1.9,35.42
2025-11-02T04:00,6.4,6.4,43.519999999999996
2025-11-02T05:00,8.7,8.7,47.66
2025-11-02T06:00,10.7,10.7,51.26
2025-11-02T07:00,12.8,12.8,55.04
2025-11-02T08:00,14.2,14.2,57.56
2025-11-02T09:00,14.8,14.8,58.64
2025-11-02T10:00,14.5,14.5,58.1
2025-11-02T11:00,13.6,13.6,56.48
2025-11-02T12:00,10.6,10.6,51.08
2025-11-02T13:00,8.2,8.2,46.76
2025-11-02T14:00,7.1,7.1,44.78
2025-11-02T15:00,6.6,6.6,43.879999999999995
2025-11-02T16:00,6.6,6.6,43.879999999999995
2025-11-02T17:00,7.6,7.6,45.68
2025-11-02T18:00,5.2,5.2,41.36
2025-11-02T19:00,4.5,4.5,40.1
2025-11-02T20:00,4.2,4.2,39.56
2025-11-02T21:00,4.7,4.7,40.46
2025-11-02T22:00,4.1,4.1,39.38
2025-11-02T23:00,3.5,3.5,38.3
